"나이","성별","키_cm","몸무게_kg","앉아서앞으로구부리기_cm","윗몸일으키기","멀리뛰기","등급","bmr"
28,0,166.2,68.1,19.9,52,217,"A",1476.3
34,0,173.5,72.4,16.5,67,236,"A",1502.5
39,1,153.2,47.5,24.5,36,180,"A",1203.5
22,0,168.4,76.3,18.6,43,222,"D",1587.2
27,0,170.2,65.3,13.2,55,230,"B",1461.3
51,1,157,54,23.5,46,156,"A",1216.3
56,1,153.3,49.6,16.8,15,141,"C",1143.9
63,1,151.6,49.62,14.9,15,51,"C",1108.1
34,0,180.1,69.5,15.3,36,235,"C",1486.6
28,0,179.5,75,10,50,210,"C",1566.5
45,0,169.6,70.1,23.7,50,214,"A",1421.7
60,1,152,55.6,16.9,1,120,"D",1180.4
30,0,169.5,68.4,13.2,43,200,"C",1475.7
21,1,171.3,65.46,22.7,30,132,"C",1493.1
26,0,177.8,74.1,11.7,57,277,"B",1564.2
30,0,169.1,66.4,-6.9,42,194,"D",1455.8
29,0,170,85.3,18,45,211,"C",1643.6
24,1,155.1,48.1,23.2,54,182,"A",1283.1
21,0,166.6,57.04,27.5,56,232,"A",1403.8
22,1,176.2,74.9,24.9,64,186,"A",1587.8
27,0,187.7,65.56,24.9,51,214,"B",1495.3
28,0,172.3,63.8,-6.2,29,180,"D",1446
21,0,179.1,88.4,-6.8,51,218,"D",1727.3
51,0,173,65.9,11.4,38,197,"B",1359.3
32,0,174,78.4,14.5,48,220,"C",1570.4
61,0,172.9,69.3,18.1,26,179,"C",1344.8
33,0,176.5,70.3,18.5,53,222,"A",1492.5
22,1,160.5,50.8,35.2,46,181,"A",1328.2
21,1,168.8,53.5,24.7,38,185,"A",1373.7
45,1,162.7,54.4,18.7,35,160,"B",1258.6
53,0,172.9,83.9,14.1,25,168,"D",1522.6
62,1,148.9,43.4,20.7,36,129,"A",1048.3
56,1,158,59.4,22,30,148,"B",1246.4
35,1,152.5,47.1,12.8,31,140,"C",1217.2
26,0,168.8,63.7,16.8,49,222,"B",1448.2
24,1,161.5,54,23.7,47,198,"B",1351.3
24,1,158.2,47.8,25.9,46,156,"B",1285.8
55,1,155.2,57.5,24.7,35,185,"A",1227.9
45,1,155.1,53,21.2,22,133,"B",1231.5
30,0,174.5,76.4,21.2,53,220,"B",1561.5
60,0,153.9,54.8,16.2,19,148,"C",1176.1
41,0,177.4,79.2,4.2,49,218,"D",1541.9
31,0,172.5,72,23.4,56,226,"B",1511
63,0,168.8,63.2,13.2,34,193,"A",1269.5
50,0,170.7,69.4,20,43,214,"A",1393.5
24,0,172.1,74.7,11.1,53,244,"B",1569.1
32,0,180.6,67.4,7,54,188,"C",1476.7
21,0,175.5,76.3,3.8,51,201,"D",1604.7
53,0,175,76.4,23.5,54,219,"B",1454.3
30,1,162.5,50.2,20,33,149,"B",1288.4
55,0,167,70.9,16,32,204,"B",1377.7
64,0,164.5,62.9,6.5,30,154,"C",1254.1
54,1,154,54.5,12.5,13,120,"D",1201.6
26,0,175.7,64.7,17.5,55,221,"A",1470.2
63,1,159.5,60.8,16.3,14,113,"B",1229.7
41,1,161,51.8,20,21,170,"C",1249.4
61,1,162.6,65.4,24.9,19,106,"C",1288.8
59,1,155.7,60.8,22.7,13,146,"D",1241.6
42,0,169.6,71.6,3.7,43,211,"D",1450.2
23,1,158.2,56.5,25.3,49,179,"A",1374.1
26,0,184.4,87.4,9,53,231,"C",1703.8
21,0,178.9,69.44,13.7,39,195,"D",1544.9
48,1,155.5,69,17.8,23,203,"D",1371.7
39,0,177.4,74.1,16.1,35,233,"C",1502.4
21,0,171.7,83.8,3.3,63,217,"D",1669.8
23,0,175.9,74.48,9.4,49,234,"C",1578.5
26,0,186.4,92.3,15.2,62,286,"A",1754.4
61,1,154.2,59.1,22,19,120,"A",1213.2
64,1,159.7,49.34,14.9,22,101,"C",1115.3
26,0,171.2,76.7,16.4,59,240,"A",1577.3
21,1,161.6,57.4,15.5,42,168,"B",1398.2
23,1,155.1,58.7,20.9,46,167,"A",1389.6
21,0,176.1,71.6,10.2,50,230,"C",1560.6
61,0,166.8,63,26.5,32,172,"A",1273.3
24,1,162.6,58.9,14.7,31,172,"D",1400.3
31,1,156.5,54.4,4.8,19,161,"D",1313.2
26,1,169.4,60.8,20.5,62,191,"A",1421.4
23,0,177.1,75.7,20.3,53,246,"B",1592.4
60,0,164,58.9,18.4,51,178,"A",1233.6
22,0,181.2,75.3,6.2,49,262,"C",1600.6
24,1,167.4,56.9,14.9,45,169,"B",1389.8
56,0,166,77.4,3.5,22,184,"D",1433.6
57,0,173.5,79.8,19,35,201,"A",1465.5
33,0,164.5,63.1,10,49,230,"B",1401.8
36,0,168.4,68.8,22.1,55,214,"A",1449.4
60,0,160,69.98,4.8,24,184,"C",1332.8
27,0,168.2,72.5,6.6,51,255,"C",1526.9
46,1,163.1,59.16,30.7,40,161,"A",1300.3
52,1,154,55,20,7,120,"D",1215.8
30,0,171.3,65.6,22.1,45,210,"C",1452.1
35,1,160.6,56.3,23.3,9,135,"D",1320.1
60,0,170.7,64.3,10.8,35,211,"B",1297.5
58,0,168.7,74.7,3,36,191,"D",1403.2
26,1,167.5,55.66,16.8,36,157,"C",1368.6
25,0,173.2,69.6,5.5,28,213,"D",1517.4
22,0,170.5,78.2,4.4,10,180,"D",1609.2
28,1,158.4,55.4,26,41,190,"A",1340.4
29,0,174.6,92.1,15,42,192,"D",1717.1
47,1,161,60.7,4.1,0,106,"D",1306.6
33,0,175.7,67.9,14.3,60,233,"C",1468
44,0,177.1,73.1,11.8,50,246,"C",1468.7
37,0,170.3,78.6,-7.5,0,152,"D",1542.2
44,0,175.6,64.3,-0.7,46,236,"D",1381.6
51,0,173.8,68.1,17.9,34,197,"B",1381.9
23,0,185.2,79.3,8.8,55,234,"D",1641.5
49,1,158.1,51.9,19.5,37,178,"B",1207.5
61,1,148.6,54.4,19.1,29,130,"B",1158
29,0,178,94.9,12.3,31,215,"D",1750.1
30,0,188.3,99.4,25.8,46,193,"B",1807.2
57,1,158.1,57.6,20.5,32,142,"A",1224.6
21,0,186.8,79.1,-1.5,45,235,"D",1651.9
22,0,182,70.5,-2.3,34,202,"D",1556
48,0,166.2,68.4,8,28,177,"D",1385.2
25,0,178.5,94.1,11.7,40,221,"D",1762.2
21,0,173,83.1,0,34,185,"D",1665.5
27,0,177,87.4,18,58,238,"B",1685.7
61,0,162.3,53.04,13.1,35,173,"A",1169.6
23,1,161.1,70.9,12.5,31,164,"D",1517.5
23,1,156.2,49.6,16.7,20,150,"D",1304.2
29,0,174.7,83.78,18.4,52,238,"B",1637.4
28,1,154.3,45,18.5,26,146,"C",1233.1
34,0,177,62.8,17.5,48,232,"A",1416.7
49,1,163.1,45.6,28.2,25,155,"B",1156
24,0,181.3,80.4,26,44,232,"C",1640.4
22,0,178.1,70.2,17.6,55,260,"A",1546.1
33,0,167.2,75.5,17.2,55,182,"C",1525.7
40,1,155,52.8,28.2,34,174,"A",1252.9
63,0,171.6,66.1,16.8,19,205,"C",1302.3
32,0,183.6,84.3,22.1,44,200,"C",1644.4
47,0,177.3,71.9,0.8,41,207,"D",1443.5
28,0,173.9,72,21.8,45,229,"C",1527.6
23,1,161.2,58.4,15,50,165,"B",1397.7
41,0,170.6,72.1,0.8,28,223,"D",1461.5
33,0,174.9,71,18.3,64,232,"A",1496.3
52,0,167.8,67.4,10,40,200,"B",1359.7
29,0,170.5,79,10.6,63,215,"B",1584
21,0,169.3,70.7,1.3,18,198,"D",1539.8
51,0,175.5,71.7,9.9,34,185,"B",1419.5
33,1,165.8,67.6,21.6,13,145,"D",1447.3
27,0,168.9,67.2,19.9,54,235,"A",1477.2
41,1,153.6,46.7,11,20,155,"C",1187.1
32,1,174.2,73.3,23.3,52,191,"A",1521.8
47,0,169.1,66,16.3,49,225,"A",1372.1
47,0,171.6,73.5,11.8,48,221,"B",1448.6
32,0,182.4,84.9,10.7,44,243,"C",1648
38,0,172.7,70,12.5,35,171,"C",1459.3
33,0,179,74.4,12.3,49,218,"B",1536.3
24,0,173.7,61.5,21.6,51,217,"C",1445.3
22,0,179.1,62.7,11.3,55,230,"C",1475.9
36,1,157.1,53,24,40,155,"A",1277.4
26,0,174.9,75.6,16.6,58,227,"A",1573.4
30,0,184.1,89.64,19.3,50,253,"A",1705.9
22,1,161.8,48,17.2,46,187,"B",1303.6
37,0,183.2,74,21.5,52,222,"A",1521.3
24,0,169.2,66.2,12.3,25,217,"D",1482.3
33,0,170.5,68.8,10.4,42,184,"B",1467.3
52,0,171,72.3,11.8,20,138,"D",1412.5
32,0,170,75.9,7.3,37,211,"D",1539.2
53,0,168.6,82,25.5,26,191,"D",1496.6
23,1,160.8,45.5,15,35,152,"B",1273.1
46,1,166,60.3,-1.5,29,144,"D",1316.5
27,0,167.9,66.4,13.6,50,239,"B",1467.8
27,1,152.6,47.5,-19.9,24,137,"D",1258.8
22,0,176.8,83.8,0.8,48,178,"D",1674.3
60,0,164.9,66.3,17.9,40,181,"A",1306.3
33,0,170.6,67.8,23,53,239,"A",1457.9
22,0,175.2,79,20.4,57,240,"A",1625.4
50,1,162,51.5,26,21,135,"B",1206
22,1,152.3,48.2,1.6,31,174,"D",1288.5
22,0,165.8,68.5,7.1,38,200,"D",1507.6
48,0,170.3,80.4,13.3,42,223,"B",1507.8
31,0,168.7,70.6,11.3,42,212,"B",1490.7
29,1,170.7,58.82,20.5,35,141,"A",1390.6
62,0,169.8,71.9,14.7,31,206,"B",1359.5
49,1,156.7,64.1,18,11,106,"D",1322.1
62,0,165.9,63.3,2.6,35,167,"C",1269.9
37,0,170.7,85.8,5.6,42,224,"D",1612
59,0,165.7,74.2,2.7,26,202,"D",1388.3
32,0,173.7,66.4,7.8,56,210,"C",1454.7
28,0,175.5,89.6,0.3,37,208,"D",1699.5
21,1,160.9,51.2,18.6,39,176,"B",1337.4
21,0,167.2,73.7,21.6,49,202,"C",1564.8
32,0,184,93.8,0.9,49,199,"D",1736.3
26,0,171.3,69.2,17.6,56,225,"A",1505.5
27,0,173,85.04,21.2,44,224,"D",1655.9
32,0,177.3,66,7.6,52,240,"C",1457.3
29,1,159,49.5,21.1,34,162,"A",1280.1
61,0,171.9,71.4,8.4,40,174,"C",1363.2
61,0,172.1,76,13.2,38,199,"A",1407.7
24,1,165,52,11.8,27,154,"C",1338.4
50,0,175.2,75,12,32,194,"B",1455.4
24,0,173.3,68.5,7.4,62,223,"C",1511.7
29,0,176.7,78.7,17.3,56,246,"A",1592.3
26,1,164.9,62.6,11.1,41,156,"C",1430.6
48,0,175.6,73.1,21.1,45,220,"B",1447.2
57,1,167.2,87.3,-3.4,0,65,"D",1526.1
21,0,185.8,88.5,20.3,69,240,"A",1740.3
32,1,159.5,57.8,19.1,45,174,"A",1346.6
26,0,174.1,73.4,23.9,51,238,"A",1550.8
46,0,174.8,67.6,14.1,42,192,"C",1402.4
27,0,181.4,71.6,13.6,42,248,"D",1542
25,0,181.3,70.24,14.3,51,221,"B",1538.1
23,0,168.1,106.3,6.1,15,164,"D",1870
23,0,170.1,70.9,7.6,38,190,"D",1533.7
49,1,153.9,49.4,10.9,21,120,"C",1176
42,0,172.6,73.2,20.8,35,202,"C",1471
34,0,179.4,86.4,14.4,68,227,"A",1647.6
62,1,150.3,62.4,19,0,113,"D",1233.2
46,1,159,53.4,25.3,38,150,"B",1237.6
50,1,156.4,39.8,8,26,160,"D",1083.6
38,1,161.7,49.6,22.1,33,142,"A",1243.6
44,0,174,77.1,3.7,39,183,"D",1501.6
29,0,173,86.7,11.1,45,187,"D",1662.4
56,1,150.2,52,18.9,15,142,"C",1161.4
59,0,168.9,61.6,8.2,34,200,"C",1273.1
21,1,167.5,57.4,24.2,26,172,"C",1408.8
27,0,170.1,63.5,17.1,57,244,"A",1443.9
44,0,176.3,68.3,13.2,34,217,"C",1421.2
40,1,155.8,51.9,20.3,41,176,"A",1245.7
24,1,171.2,56.3,30.1,51,216,"A",1390.8
36,0,169.3,54.4,18.5,47,211,"B",1312.8
24,0,176.4,73.7,24.2,49,192,"C",1567.2
35,0,175,70.7,18.4,53,236,"B",1484.2
25,0,180.5,74.8,11.1,35,200,"D",1580.5
60,1,155.9,66,14.1,7,106,"D",1287.2
50,0,165.4,68.7,13.5,40,206,"C",1377.2
57,0,175.3,82.42,18.5,46,184,"B",1493.9
48,1,162,46.8,29.6,41,170,"A",1170.3
23,0,184.3,71.2,-11.2,39,166,"D",1562.2
37,0,177.1,76,12.3,40,207,"B",1529.5
24,0,178.1,72.8,17.6,57,236,"A",1561.7
23,1,172.5,60.9,19.7,55,136,"A",1442
25,1,151.4,47,26.6,52,173,"A",1261.2
31,0,166.6,55.5,17.6,58,232,"A",1342
45,1,158.5,57.4,19,34,153,"B",1279.8
28,0,183.6,88.2,7.1,42,266,"C",1700.6
27,1,163.1,52.62,24.1,53,216,"A",1326.8
37,0,174.3,78.4,11.9,45,236,"B",1547.5
32,0,162,73.8,14.9,34,189,"D",1504.7
23,1,158,53.1,25,50,189,"A",1341.1
21,1,160,52.8,9.6,30,125,"D",1351.2
29,1,155.5,67.3,14.3,23,130,"D",1444.7
23,0,173,70.1,11,53,247,"C",1531.3
27,0,180.4,72.4,17.5,52,200,"A",1547.9
22,0,171.4,73.9,12.9,58,258,"B",1569.6
25,0,184.2,87.1,1,25,207,"D",1705.2
21,0,173.7,72.5,16.2,55,231,"A",1565
22,0,179.8,75.4,19.1,60,246,"A",1599.1
21,1,156.1,52.7,15.3,47,182,"B",1343.2
25,0,174.4,68,26.5,41,228,"C",1504.2
56,0,168.2,53.5,13.3,34,197,"B",1208.2
32,0,170.4,85.22,15.6,54,219,"A",1629.4
53,0,167.6,69.6,17,37,211,"B",1375.7
46,0,164.8,66.4,15.4,46,225,"A",1372.9
22,0,177,72.16,16.2,52,243,"B",1562.9
25,1,156,44.9,11.6,45,161,"C",1249.3
28,0,165.5,56.1,11.4,51,202,"B",1359.9
26,0,177.4,73.2,12.4,60,237,"B",1554.8
37,1,167.5,67.5,17.4,42,179,"B",1430.6
54,0,169.6,63.3,22.5,44,174,"C",1314.2
43,0,172,69.4,17,48,221,"B",1428.7
23,0,180.7,82.1,19.7,58,237,"A",1660.3
50,0,171.2,67.3,24.3,47,201,"A",1374.2
28,1,162,60.4,13.9,42,175,"B",1394.8
30,0,169,66,26,57,259,"A",1451.8
21,1,161.3,60.3,16.8,50,164,"B",1425.5
21,1,154.6,48,2,30,135,"D",1295.4
23,0,172,72.4,22.8,42,212,"D",1551.5
39,0,170,70.1,10.6,36,201,"C",1450.7
39,0,173.4,82.5,9.4,59,228,"C",1575.8
59,1,158,62.3,9.8,13,86,"D",1260.2
26,0,175.3,73.6,7.9,48,198,"C",1554.9
62,0,170.4,72.9,14.5,27,174,"B",1370.2
62,0,180.9,74.2,-2.3,22,183,"D",1401.5
58,0,176.9,83.9,27.3,54,230,"C",1506.3
24,1,160.2,57.88,23.6,48,145,"A",1386.2
51,0,172.7,77.12,19.4,39,218,"B",1466.5
33,1,161.2,51.2,27.3,45,174,"A",1281.6
33,0,180.7,69,20,52,248,"A",1487.6
27,0,181.6,70.9,14.4,49,214,"B",1535.6
47,0,164.2,75.3,26.5,51,186,"B",1452.5
23,1,154.9,61.24,23.7,44,145,"D",1413.6
23,0,163.6,56.8,8.9,53,188,"C",1386.7
59,1,153.4,41.1,14.4,15,135,"C",1048.4
22,0,184.2,70.8,24.8,54,241,"C",1562.8
21,1,162.6,60.8,17.1,34,150,"C",1432.7
26,1,159.4,54.6,26.4,50,180,"A",1343.9
22,1,173.5,69.7,19.4,48,203,"B",1533
43,0,169.7,73.5,-14.7,28,205,"D",1464
51,0,168.9,67.5,12.7,42,182,"B",1367.3
23,1,153.5,50.7,32.2,50,178,"B",1309.9
37,0,172.6,80.2,17.3,58,235,"A",1561.7
23,0,167.7,61.8,12.3,56,236,"B",1442
23,0,168.6,70.8,11.8,47,133,"C",1530.1
25,1,166.3,53.6,21.1,54,189,"A",1351.4
27,0,182.4,81.18,5.3,56,231,"C",1635.7
34,1,159.1,52.3,9,26,184,"D",1283.7
23,1,167.5,57,10.8,30,146,"C",1395.6
46,1,152.1,52,14.2,16,130,"C",1211.8
36,0,185.1,73.6,10.4,45,211,"B",1525.5
33,0,171.7,85,8.7,44,197,"D",1625
23,0,166,66.6,27.3,62,223,"A",1485.1
63,1,154.8,46,28.5,24,137,"A",1079.1
50,1,150.5,52.7,22.9,29,133,"B",1196.8
60,1,155,45.3,22.3,0,140,"D",1086.9
29,0,173.7,76.1,16.2,67,247,"A",1561.9
30,0,175.8,80,8.5,68,246,"C",1598.4
37,1,166,55.2,28.9,33,165,"B",1309.8
45,1,160.1,51.4,14.4,28,145,"C",1225.1
21,1,156.9,45.7,30.7,57,206,"A",1277.4
61,0,165.2,62.3,11.7,23,193,"C",1263.7
64,0,166.2,67,13.6,37,188,"A",1296.6
26,1,157.7,51.1,23.1,39,207,"A",1307.2
40,0,172.1,78.9,1.9,46,176,"D",1534.2
60,1,153.3,64.9,13.8,0,105,"D",1272
25,0,176.3,79.1,10,54,251,"C",1614.2
57,1,156.8,61.3,13.6,18,134,"C",1257.8
21,1,167.3,52.9,21.1,47,189,"A",1365.3
28,1,161.5,65.5,28.9,49,213,"A",1442.9
28,1,160.9,62.4,10.1,43,163,"C",1412.1
22,0,167.6,63.5,13.5,55,231,"B",1462.9
52,0,160.5,59.3,14.4,31,183,"C",1268.8
30,0,168.5,70.2,5.1,50,218,"C",1491.2
61,1,166.8,60.2,27.5,29,151,"C",1246.5
53,1,150.5,68.1,15.8,12,126,"D",1330.6
22,0,184.6,80.5,-5,50,166,"D",1656.7
28,1,168.3,55.3,24.6,36,182,"A",1357.2
25,0,176.5,74.2,2.3,53,176,"D",1567.5
21,1,164.9,55.9,26.6,47,207,"A",1389.8
60,0,171.8,73,14.9,40,191,"A",1383
21,1,158.5,48.6,16.7,15,118,"D",1308.2
24,0,183.2,80.3,20,62,220,"A",1642.8
27,0,173.7,77.2,13.4,42,246,"C",1581.9
28,0,181.3,73,14.5,51,234,"C",1550.5
22,0,190,104.7,7.6,48,188,"D",1898.7
50,0,173.5,73.6,14.1,45,198,"B",1438.9
39,0,178,70.9,7.4,44,224,"C",1472.7
28,0,174.7,82.7,16.7,60,237,"A",1631.8
64,0,178.5,77.5,10.7,46,157,"B",1419.5
64,0,175.6,64.3,17.8,38,223,"A",1287.6
37,0,168.8,99.2,6.3,21,191,"D",1737.3
35,1,161.2,54.6,26.1,34,199,"A",1304.8
21,0,175.7,65.8,6.5,45,223,"C",1504.2
56,0,170,74,12.2,37,166,"D",1408.2
46,0,165.3,70.6,14.7,50,208,"A",1414.1
22,0,185.1,81.3,9.2,54,257,"C",1665.3
29,0,179.6,64.5,22,47,214,"B",1461.2
25,0,172,73.5,15.5,46,220,"C",1552.7
55,0,180,80,18.5,50,208,"A",1488.5
62,0,169.7,87.6,-7.3,24,122,"D",1510
61,1,148.3,41.7,22.3,37,136,"A",1035.6
60,0,169.8,66.6,15.2,38,220,"A",1318
41,1,168.7,55,-3.7,35,136,"D",1294
22,0,177.2,84.5,16.5,52,190,"D",1681.8
22,1,159.5,53.6,21.1,35,139,"B",1353.3
29,0,172.5,75,20.6,53,234,"A",1549.2
21,0,173.3,69.2,-11.4,41,169,"D",1532.6
35,0,170.7,74.1,15.3,44,230,"B",1509.1
32,1,158.6,57.5,9.8,37,169,"C",1342.1
44,1,167.4,60.4,21.6,21,141,"C",1329.4
24,0,173.5,80.7,9.7,41,222,"D",1629.2
24,1,164.7,62.5,24.3,44,181,"A",1438.7
38,0,184,77.1,21.7,34,218,"C",1547.8
30,1,164.7,54.2,28.3,44,184,"A",1330.8
21,0,173.4,61.8,29.2,57,278,"C",1461.7
26,0,173.4,74.1,15.4,58,223,"A",1556.3
34,0,178.8,82.3,6.9,58,241,"D",1607.1
22,1,157.8,59.1,15.1,47,163,"B",1403
54,0,171,70.5,14.6,32,218,"B",1385.8
26,1,157.9,52.9,20.3,47,170,"A",1324.9
49,1,164.9,60,19,45,171,"A",1297.5
22,1,167.7,53.7,11.8,34,169,"D",1369
63,0,162.9,64.5,14,44,185,"A",1271.3
63,1,150,53,3.9,22,130,"D",1137.7
26,0,185.8,101.4,11.1,47,254,"C",1840.7
24,1,153.8,51.3,19.7,41,161,"B",1311.5
48,1,156.4,48.3,26.6,68,190,"B",1174.6
61,1,158.8,55.94,21.5,4,152,"D",1191.2
63,0,168.7,67.6,21.3,35,184,"A",1311.5
60,0,169.5,79.5,14.9,32,186,"B",1441.3
21,1,162,54.5,21.4,63,187,"A",1371.1
45,0,172.4,71,12.3,37,203,"B",1435.4
32,1,154,53.2,20.7,15,156,"D",1292.5
26,0,167.8,80.5,14.7,49,213,"B",1607.6
60,1,155.6,72.5,18.2,15,85,"D",1349.1
28,0,171.3,76,14,55,213,"B",1561.3
24,0,178.1,71.6,16.3,55,251,"A",1550.1
43,1,168,64,16,25,170,"B",1369.7
31,0,183,76.3,19,56,231,"A",1571.2
51,0,172.8,65.7,3.7,20,194,"D",1357.1
45,0,171.9,67.3,7.5,50,196,"C",1399
25,0,173.7,83.86,20.5,55,257,"A",1655.2
21,0,166.8,72.7,17.1,68,235,"A",1554.5
49,0,166.3,97.42,-16.8,18,153,"D",1659.3
22,1,167,68.8,23.8,40,171,"A",1512.7
45,0,172.5,76.8,5.5,43,214,"C",1491.3
24,0,179.3,73.4,13,53,230,"B",1569.6
27,0,162.3,67.66,19,44,205,"C",1469.8
36,0,180,98.9,8,34,204,"D",1759.2
30,1,172.3,60.4,16.4,43,176,"B",1404
24,0,173,71,20.6,50,254,"B",1535.2
39,1,159.5,56.7,14.3,35,154,"C",1303.1
26,1,171,61.9,16,37,158,"B",1434.8
21,0,183.2,76.4,17.7,57,260,"A",1619.5
21,0,174.5,67.5,18.8,58,207,"B",1518.4
37,1,162.6,54.1,25.1,47,165,"A",1293.1
22,1,170.3,67.9,20.1,37,131,"C",1510
29,0,172.9,70.5,16.8,45,201,"B",1506.7
21,0,165.3,63.5,18,59,243,"A",1463.4
39,1,154.9,55.8,15.4,27,132,"B",1286.2
22,1,154.8,49.9,13,30,181,"C",1309.3
62,0,166.3,63.7,9.6,41,178,"B",1274.5
26,0,178.6,73.94,22.8,59,246,"A",1564.1
27,0,167,68.3,8.7,53,210,"C",1484.4
57,0,175.1,73.1,-6,18,167,"D",1404
21,0,174.8,65,1.3,43,195,"D",1494.9
30,0,173.4,83.34,2.7,43,196,"D",1626.2
28,0,168,92,-12,34,190,"D",1709
54,1,159.2,62.02,17.4,17,130,"C",1283.2
52,1,169.7,53.4,28,34,147,"A",1228.7
37,0,180,87.7,10,30,202,"D",1647
31,0,162,75.3,20.5,55,237,"A",1523.8
23,1,171.4,63.8,23,51,172,"A",1467.9
33,0,183,89.6,-11.1,24,190,"D",1689.5
37,0,177.8,88.6,10.1,47,204,"D",1651.7
50,0,174.1,83.5,-2.7,30,203,"D",1535
64,0,164.2,70.7,13,40,181,"A",1328.5
26,1,170.5,63,17.6,47,165,"B",1444.5
42,0,163,62.1,17,47,244,"A",1347.2
21,1,156.5,53.8,28.8,47,172,"A",1354.5
59,0,162.7,74.1,17.7,33,168,"B",1381.9
25,1,160.8,54.6,15.8,32,156,"B",1351.1
22,1,170.8,53.5,16.9,32,157,"B",1372.6
47,1,158,47,20,25,144,"B",1169.7
22,0,175.3,103.3,-8.6,57,205,"D",1858.8
62,0,171.8,64.5,13,35,183,"A",1292
30,0,168,81,21.2,51,248,"A",1594
62,1,156.9,48.5,16.1,8,137,"C",1111.6
28,1,162.1,45.48,13.8,41,178,"B",1251.8
22,1,161.9,63.8,14.5,40,127,"C",1455.5
29,0,174.3,75.94,13.3,43,213,"C",1561.5
39,1,163.5,55,15.3,29,150,"B",1294
34,1,157.4,57.4,20.2,32,174,"A",1329.6
49,0,172.6,69.7,2.2,16,190,"D",1404.5
40,1,168.5,64.5,13.4,26,168,"C",1389.5
36,1,154,56.7,14.3,25,150,"C",1307.3
36,0,181.5,84.8,16.5,49,220,"B",1626.6
50,0,172.8,73.6,6.3,31,185,"C",1437.6
33,1,160,50.7,-9,37,128,"D",1274.6
25,0,181.7,88.7,14.7,53,223,"D",1716.1
46,1,161.4,79.8,-6.6,13,137,"D",1495.4
30,0,173.4,83.6,18.7,41,226,"B",1628.7
27,1,166.2,78.5,22.4,43,166,"D",1580.9
64,0,169.5,73.2,22.8,31,179,"A",1362
37,0,175.6,78.3,23.3,49,230,"A",1548.9
48,0,169.1,72.2,20,52,202,"A",1426.9
44,0,183.7,77.8,7.4,45,211,"C",1525.7
59,0,163.2,61.7,11.8,34,204,"B",1263.8
31,1,160.7,54.3,25.5,33,157,"A",1319.8
23,0,172.7,77,18.1,47,233,"C",1597
27,0,170.5,66.6,28.6,52,261,"A",1474.4
36,0,171.8,73.3,15.9,54,206,"B",1498.7
50,0,172.2,67,15.5,50,176,"C",1373.2
47,0,168.8,68.4,6.5,32,207,"C",1394.6
28,1,161.7,54.5,18.5,34,159,"B",1337.7
47,1,168.6,67.3,14.8,23,148,"B",1383.7
26,1,162.5,60.88,29.1,50,157,"A",1409.7
57,0,172.6,66.4,17.8,52,201,"A",1335.2
34,0,165.1,62.3,15.4,53,230,"B",1390.5
61,0,163.3,60.3,8.6,29,185,"B",1241.1
37,0,163,59.8,13,34,215,"C",1348.6
28,1,172.8,64.6,15.1,52,211,"B",1454.6
25,1,153.4,45.9,23.5,53,191,"A",1254.3
26,1,163,52.7,19,42,170,"A",1332.1
41,0,163.2,61.9,10,42,198,"C",1350.3
58,0,169.1,73.9,11.8,25,144,"C",1396.2
23,0,178.4,76.4,11,49,234,"C",1601.5
48,1,154.2,52.2,16.9,36,141,"B",1208.1
48,0,174.6,74.9,-5.7,34,165,"D",1462.7
24,1,152.4,42.5,14.2,50,184,"C",1224.5
26,0,179.4,70.6,18.2,52,243,"A",1533.5
21,1,165.2,50.2,23.2,31,162,"B",1335.6
26,1,165.7,66.1,14.2,49,185,"B",1465.6
39,1,154.9,46.6,28,35,159,"C",1197.9
40,0,183.5,77.4,22.3,37,213,"C",1540.3
54,0,171,75.4,21,43,220,"A",1432.8
38,0,170.8,78.3,16.9,42,192,"B",1535.5
39,0,185.4,80.76,16.7,49,239,"A",1580.7
45,0,173.5,77.9,9,37,230,"C",1503.6
55,1,155,60.7,25.9,24,145,"A",1258.2
46,1,167,58.04,18.1,38,200,"B",1296.6
57,1,153,57.6,20.4,35,139,"C",1215.5
22,1,166.5,52.4,12.7,27,156,"C",1354.3
32,0,169,76.8,14.3,50,224,"C",1546.1
63,0,169.1,62.7,14.2,34,178,"A",1265.2
25,1,166.5,60.7,19.3,44,134,"B",1419.9
38,0,179.4,80,13.9,57,243,"B",1567.3
21,0,169.1,66.7,7.7,61,200,"C",1501
22,0,176,76.8,20.4,60,267,"A",1605.7
50,1,155.7,53.5,22.6,27,158,"A",1213.9
29,0,173.8,77.5,16,51,228,"B",1575.5
64,0,168.2,67.7,7.3,31,181,"B",1306.9
49,0,156.6,64.6,13,22,194,"D",1326.7
25,0,182,81.2,8.2,52,193,"C",1644.6
61,1,147.9,64.7,11.6,4,130,"D",1255.6
27,0,180.2,79.9,11,50,245,"C",1619.5
27,1,158.4,50.4,30.8,40,155,"A",1297.1
22,1,164.1,60.8,-4.6,31,159,"D",1430.7
26,1,163.5,50.3,3.7,25,147,"D",1310
42,0,185.3,89.6,19.2,45,210,"A",1651.3
28,1,164.3,52.7,17,57,182,"B",1325.1
28,1,162.1,52.9,25.5,41,160,"A",1323
23,0,175,73.18,23.7,53,243,"B",1564.4
26,0,173.1,77.7,9.8,50,224,"C",1590.3
32,0,178.1,70.9,24.6,33,235,"D",1505.8
